ROWS_SITE_ID,1_EWSRC_ID,5_EWSRC_ID,35_EWSRC_ID,36_EWSRC_ID,37_EWSRC_ID,38_EWSRC_ID,50_EWSRC_ID,51_EWSRC_ID,60_EWSRC_ID,63_EWSRC_ID,70_EWSRC_ID,79_EWSRC_ID,87_EWSRC_ID,204_EWSRC_ID,206_EWSRC_ID,211_EWSRC_ID,212_EWSRC_ID,223_EWSRC_ID,224_EWSRC_ID,278_EWSRC_ID,414_EWSRC_ID,457_EWSRC_ID,466_EWSRC_ID,490_EWSRC_ID,536_EWSRC_ID,640_EWSRC_ID,650_EWSRC_ID
R_CHMRGDS,b-CHMRGDS.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_COBPUMP,,,,,,,b-COBPUMP.50,,,,b-COBPUMP.70,,,,,,,,,,,,,,,,
R_COOMPUM,,,,,,,b-COOMPUM.50,,,,,,,,,,b-COOMPUM.212,,,,,,,,,,
R_COWANNA,,b-COWANNA.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_COWPUM,,,,,,,,,,,,,,,,,,,b-COWPUM.224,,,,,,,,
R_CURLPUM,,,,,,,b-CURLPUM.50,,,,,,,,,,b-CURLPUM.212,,,,,,,,,,
R_DARDIVA,,,,,,,,,,b-DARDIVA.70,,,,,,,,,,,,,,,,,
R_DARDIVB,,,,,,,,,,b-DARDIVB.70,,,,,,,,,,,,,,,,,
R_DARDIVC,,,,,,,,,,b-DARDIVC.70,,,,,,,,,,,,,,,,,
R_DARDIVD,,,,,,,,,,b-DARDIVD.70,,,,,,,,,,,,,,,,,
R_DARDIVE,,,,,,,,,,b-DARDIVE.70,,,,,,,,,,,,,,,,,
R_DARTREG,,,b-DARTREG.35,b-DARTREG.35,,,,,,,,,,,,,,,,,,,,,,,
R_EUCMUR,,,,b-EUCMUR.36,,,,,,,,,,,,,,,,,,,,,,,
R_EUCUMBE,,,b-EUCUMBE.35,b-EUCUMBE.36,,,,,,,,,,,,,,,,,,,,,,,
R_FLOWTOSA,b-SAFLOW.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_FMITPUM,,,,,,,b-FMITPUM.50,b-FMITPUM.51,,,,,,,,,b-FMITPUM.212,,,,,,,,,,
R_GEEHSTO,,,b-GEEHSTO.36,b-GEEHSTO.36,,,,,,,,,,,,,,,,,,,,,,,
R_JINDABY,,,b-JINDABY.36,b-JINDABY.36,,,,,,,,,,,,,,,,,,,,,,,
R_KHANCOB,b-KHANCOB.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_KHANSTO,,,b-KHANSTO.36,b-KHANSTO.36,,,,,,,,,,,,,,,,,,,,,,,
R_KOONPUM,,,,,,,,,,,,,,,,,b-KOONPUM.212,,,,,,,,,,
R_KOWSWMP,,,b-KOWSWMP.35,b-KOWSWMP.36,,,,,,,,,,,,,,,,,,,,,,,
R_LOXTWTP,,,,,,,,,,,,,,,,,,b-LOXTWTP.223,,,,,,,,,
R_LTMURWR,b-LTMURWR.1,b-LTMURWR.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_MAMANAD,,,,,,,,,,,,,,,,,,,b-MAMANAD.224,,,,,,,,
R_MAMBONK,,,,,,,,,,,,,,,,,,,b-MAMBONK.224,,,,,,,,
R_MENINDE,,,,b-MENINDE.36,,,,,,,,,,,,,,,,,,,,,,,
R_MERANCK,,,,,,,,,,,b-MERANCK.70,,,,,,,,,,,,,,,,
R_MERBPUM,,,,,,,b-MERBPUM.50,b-MERBPUM.51,,,,,,,,,b-MERBPUM.212,,,,,,,,,,
R_MILLPUM,,,,,,,b-MILLPUM.50,,,,,,,,,,b-MILLPUM.212,,,,,,,,,,
R_MOIRPUM,,,,,,,b-MOIRPUM.50,,,,,,,,,,b-MOIRPUM.212,,,,,,,,,,
R_MORGPUM,,,,,,,,,,,,,,,,,,,b-MORGPUM.224,,,,,,,,
R_MULDLWC,,,,,,,b-MULDLWC.50,,,,,,,,,,,,,,,,,,,,
R_MULMDBC,,,,,,,b-MULMDBC.50,,,,,,,,,,,,,,,,,,,,
R_MUR1REL,b-MUR1REL.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_409068,,,,,,,b-NIEMNBC.50,,,,,,,,,,,,,,,,,,,,
R_NSWDIVC,,,,,,,,,,,b-NSWDIVC.70,,,,,,,,,,,,,,,,
R_NSWDIVD,,,,,,,,,,,b-NSWDIVD.70,,,,,,,,,,,,,,,,
R_NSWDIVE,,,,,,,,,,,b-NSWDIVE.70,,,,,,,,,,,,,,,,
R_NSWDIVF,,,,,,,,,,,b-NSWDIVF.70,,,,,,,,,,,,,,,,
R_NSWDIVG,,,,,,,,,,,b-NSWDIVG.70,,,,,,,,,,,,,,,,
R_NSWDIVH,,,,,,,,,,,b-NSWDIVH.70,,,,,,,,,,,,,,,,
R_NSWDVHY,,,,,,,,,,,b-NSWDVHY.70,,,,,,,,,,,,,,,,
R_NSWDVYB,,,,,,,,,,,b-NSWDVYB.70,,,,,,,,,,,,,,,,
R_NYAHPUM,,,,,,,,,,,,,,,,,b-NYAHPUM.212,,,,,,,,,,
R_OLDMILD,,b-OLDMILD.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_409100,,,,,,,,,,b-PERRESC.63,,,,b-PERRESC.204,,,,,,,,,,,,,
R_PIPUMPS,,,,,,,b-PIPUMPS.50,,,,,,,,,,b-PIPUMPS.212,,,,,,,,,,
R_PRESMAK,b-PRESMAK.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_REDCPUM,,,,,,,b-REDCPUM.50,b-REDCPUM.51,,,,,,,,,b-REDCPUM.212,,,,,,,,,,
R_RENMWTP,,,,,,,,,,,,,,,,,,b-RENMWTP.223,,,,,,,,,
R_ROBVPUM,,,,,,,b-ROBVPUM.50,b-ROBVPUM.51,,,,,,,,,b-ROBVPUM.212,,,,,,,,,,
R_SNOWYDV,b-SNOWYDV.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_SRSTOCK,,,,,,,,,,,,,,,,,,,b-SRSTOCK.224,,,,,,,,
R_SWHPUMP,,,,,,,b-SWHPUMP.50,,,,,,,,,,b-SWHPUMP.212,,,,,,,,,,
R_TAILWTP,,,,,,,,,,,,,,,,,,b-TAILWTP.223,,,,,,,,,
R_TANCAW,,,,,,,,,,,,,,,b-TANCAW.206,,,,,,,,,,,,
R_TANDIV,,,,,,,,,,,,,,,b-TANDIV.206,,,,,,,,,,,,
R_TOOMADV,b-TOOMADV.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_TOOMINF,,,,,,,,,,,,,,,,,,,b-TOOMINF.278,,,,,,,,
R_TOOMSTO,,,b-TOOMSTO.36,b-TOOMSTO.36,,,,,,,,,,,,,,,,,,,,,,,
R_TUMUT1,b-TUMUT1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_VICDIV1,,,,,,,,,,,b-VICDIV1.70,,,,,,,,,,,,,,,,
R_VICDIV2,,,,,,,,,,,b-VICDIV2.70,,,,,,,,,,,,,,,,
R_VICDIV3,,,,,,,,,,,b-VICDIV3.70,,,,,,,,,,,,,,,,
R_VICDIVA,,,,,,,,,,,b-VICDIVA.70,,,,,,,,,,,,,,,,
R_VICDIVB,,,,,,,,,,,b-VICDIVB.70,,,,,,,,,,,,,,,,
R_VICDIVC,,,,,,,,,,,b-VICDIVC.70,,,,,,,,,,,,,,,,
R_VICDIVE,,,,,,,,,,,b-VICDIVE.70,,,,,,,,,,,,,,,,
R_VICDIVF,,,,,,,,,,,b-VICDIVF.70,,,,,,,,,,,,,,,,
R_VICDIVG,,,,,,,,,,,b-VICDIVG.70,,,,,,,,,,,,,,,,
R_VICDVNW,,,,,,,,,,,b-VICDVNW.70,,,,,,,,,,,,,,,,
R_VICDVTN,,,,,,,,,,,b-VICDVTN.70,,,,,,,,,,,,,,,,
R_VICDVUH,,,,,,,,,,,b-VICDVUH.70,,,,,,,,,,,,,,,,
R_WAIKWTP,,,,,,,,,,,,,,,,,,b-WAIKWTP.223,,,,,,,,,
R_WAKCOLL,,,,,,,,,,,b-WAKCOLL.70,,,,,,,,,,,,,,,,
R_409115,,,,,,,b-WAKTOWN.50,,,,,,,,,,,,,,,,,,,,
R_WCORPUM,,,b-WENTUS.35,b-WENTUS.36,,,b-WCORPUM.50,,,,,,,,,,b-WCORPUM.212,,,,,,,,,,
R_425055,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_WOORPUM,,,,,,,,,,,b-WOORPUM.70,,,,,,,,,,,,,,,,
