ROWS_SITE_ID,START_DATE,END_DATE,RELATED_SITE,TIME_REL_DESC
R_425055,19000101,20180630,R_WENTUS,New AWRC site number assigned
R_425055,20180630,,R_425055,New AWRC site number assigned
