ROWS_SITE_ID,HYDRO_SITE_ID,HYDSTRA_SITE_ID,PARENT_ID,STORAGES_PARENT,SHORT_NAME,LONG_NAME,DATA_ENTRY,DATA_ENTRY_PARAMS,DATA_ENTRY_SEQ,OPS_REACH,OPS_REACH_SEQ,RATING,CAPACITY,PARAMS2HYDRO_OBS,PARAMS2HYDRO_FCST,PARAMS2HYDRO_CALC,TO_MDBC_OPS,DOWNSTREAM_SITE,FSL,FSV,SURL,SURV,OPT,OPC,OPT_SENSOR_2,LATITUDE,LONGITUDE,GAUGEZ,ELEVATION,CEASE_TO_FLOW,CATCHMENT,STATION_TYPE,MODEL_TYPE,EWSRC_ID,H_TIMESTEP,Q_TIMESTEP,V_TIMESTEP,DEAD_STORAGE,R_WEEKLY,R_FLOW_SAL,R_STORAGE,R_FLOW_LEVEL,R_RIVER_SAL,FL_MAJOR,FL_MODERATE,FL_MINOR,SMS_CMD,SMS_NO,V_H_HMAX,V_H_HMIN,V_H_SMAX,V_H_SMIN,V_H_ROR,V_H_ROF,V_H_SRD,V_H_SRT,V_Q_HMAX,V_Q_HMIN,V_Q_SMAX,V_Q_SMIN,V_Q_ROR,V_Q_ROF,V_Q_SRD,V_Q_SRT,V_WT_HMAX,V_WT_HMIN,V_WT_SMAX,V_WT_SMIN,V_WT_ROR,V_WT_ROF,V_WT_SRD,V_WT_SRT,V_AT_HMAX,V_AT_HMIN,V_AT_SMAX,V_AT_SMIN,V_AT_ROR,V_AT_ROF,V_AT_SRD,V_AT_SRT,V_EC_HMAX,V_EC_HMIN,V_EC_SMAXR,V_EC_SMIN,V_EC_ROR,V_EC_ROF,V_EC_SRD,V_EC_SRT,V_DO_HMAX,V_DO_HMIN,V_DO_SMAX,V_DO_SMIN,V_DO_ROR,V_DO_ROF,V_DO_SRD,V_DO_SRT,SO_H_MAX,SO_H_MIN,SO_H_WL1,SO_Q_MAX,SO_Q_MIN,SO_Q_WL1,H_OBS,Q_OBS,P_OBS,WT_OBS,AT_OBS,EC_OBS,DO_OBS,EVAP_OBS,pH_OBS,H_PREFERRED,Q_PREFERRED,P_PREFERRED,V_PREFERRED,EC_PREFERRED,WT_PREFERRED,AT_PREFERRED,DO_PREFERRED,EVAP_PREFERRED,pH_PREFERRED,THRESHOLD,SOURCE_PARAMS,SOURCE_SEQ,EWSRC_Q_SEQ,EWSRC_QORD_SEQ,EWSRC_H_SEQ,EWSRC_V_SEQ,EWSRC_P_SEQ,EWSRC_E_SEQ,EWSRC_EC_SEQ,FLOOD_OPS,FLOOD_OPS_PARAMS,DAILY_FLOOD
R_047048,,047048,,,BROKEN HILL AIRPORT,BROKEN HILL AIRPORT AWS (CBM),,,,,,,,,,,,,,,,,,BOM,,-32.00120000,141.46940000,,281.300,,,Meteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,,,
R_047058,MENIMET,047058,,,Menindee Met,MENINDEE DWR DEPOT,Menindee,EVAP;P;,MEN_32,ST_FLOOD;,ST_07;,,,EVAP;P,,,menindee,,,,,,,BOM,,-32.39020000,142.41660000,,63.154,,,Meteo,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,P;EVAP;,,,,,,EWS_OP_005,EWS_OE_005,,,,
R_048245,,048245,,,BOURKE AIRPORT AWS,BOURKE AIRPORT AWS,,,,,,,,,,,,,,,,,,BOM,,-30.03880000,145.95400000,,118.583,,,Meteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,,,
R_054038,,054038,,,NARRABRI AIRPORT AWS,NARRABRI AIRPORT AWS,,,,,,,,,,,,,,,,,,BOM,,-30.31540000,149.83020000,,229.020,,,Meteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,,,
R_071032,,071032,,,THREDBO AWS,THREDBO AWS,Rainfall Runoff Model,,,,,,,,,,,,,,,,,,,-36.48850000,148.29120000,,1957.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hume,P_obs;,
R_072023,HUMEMET,072023,,,Hume Met Station,HUME RESERVOIR,Hume,P;EVAP;EVAP.fao56;EVAP.mlake;,HUM_24,ST_FLOOD;,ST_01;,,,P;EVAP;EVAP.fao56;EVAP.mlake;,EVAP.net,,hume,,,,,,,BOM;SILO,,-36.10250000,147.03420000,,180.330,,Upper Murray,Meteo,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,Y,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,P;EVAP;,107,,,,,EWS_OP_002,EWS_OE_002,,Hume,,
R_072043,,072043,,,TUMBARUMBA PO,TUMBARUMBA POST OFFICE (CBM),,,,,,,,,,,,,,,,,,BOM,,-35.77800000,148.01220000,,645.000,,Upper Murray,Meteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,Hume,,
R_072142,,072142,,,HOLBROOK (CROFT ST),HOLBROOK (CROFT ST),,,,,,,,,,,,,,,,,,PWS,,-35.72000000,147.31030000,,259.000,,Upper Murray,Meteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_072160,,072160,,,ALBURY AIRPORT,ALBURY AIRPORT AWS (CBM),,,,,,,,,,,,,,,,,,BOM,,-36.06850000,146.95130000,,-3.700,,Murray,Meteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,Hume,P_obs;,
R_072161,,072161,,,CABRAMURRA SMHEA,CABRAMURRA SMHEA (CBM),,,,,,,,,,,,,,,,,,BOM,,-35.93710000,148.37790000,,1482.400,,Upper Murray,Meteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,OPT,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,Hume,P_obs;,
