ROWS_SITE_ID,HYDRO_SITE_ID,HYDSTRA_SITE_ID,PARENT_ID,STORAGES_PARENT,SHORT_NAME,LONG_NAME,DATA_ENTRY,DATA_ENTRY_PARAMS,DATA_ENTRY_SEQ,OPS_REACH,OPS_REACH_SEQ,RATING,CAPACITY,PARAMS2HYDRO_OBS,PARAMS2HYDRO_FCST,PARAMS2HYDRO_CALC,TO_MDBC_OPS,DOWNSTREAM_SITE,FSL,FSV,SURL,SURV,OPT,OPC,OPT_SENSOR_2,LATITUDE,LONGITUDE,GAUGEZ,ELEVATION,CEASE_TO_FLOW,CATCHMENT,STATION_TYPE,MODEL_TYPE,EWSRC_ID,H_TIMESTEP,Q_TIMESTEP,V_TIMESTEP,DEAD_STORAGE,R_WEEKLY,R_FLOW_SAL,R_STORAGE,R_FLOW_LEVEL,R_RIVER_SAL,FL_MAJOR,FL_MODERATE,FL_MINOR,SMS_CMD,SMS_NO,V_H_HMAX,V_H_HMIN,V_H_SMAX,V_H_SMIN,V_H_ROR,V_H_ROF,V_H_SRD,V_H_SRT,V_Q_HMAX,V_Q_HMIN,V_Q_SMAX,V_Q_SMIN,V_Q_ROR,V_Q_ROF,V_Q_SRD,V_Q_SRT,V_WT_HMAX,V_WT_HMIN,V_WT_SMAX,V_WT_SMIN,V_WT_ROR,V_WT_ROF,V_WT_SRD,V_WT_SRT,V_AT_HMAX,V_AT_HMIN,V_AT_SMAX,V_AT_SMIN,V_AT_ROR,V_AT_ROF,V_AT_SRD,V_AT_SRT,V_EC_HMAX,V_EC_HMIN,V_EC_SMAXR,V_EC_SMIN,V_EC_ROR,V_EC_ROF,V_EC_SRD,V_EC_SRT,V_DO_HMAX,V_DO_HMIN,V_DO_SMAX,V_DO_SMIN,V_DO_ROR,V_DO_ROF,V_DO_SRD,V_DO_SRT,SO_H_MAX,SO_H_MIN,SO_H_WL1,SO_Q_MAX,SO_Q_MIN,SO_Q_WL1,H_OBS,Q_OBS,P_OBS,WT_OBS,AT_OBS,EC_OBS,DO_OBS,EVAP_OBS,pH_OBS,H_PREFERRED,Q_PREFERRED,P_PREFERRED,V_PREFERRED,EC_PREFERRED,WT_PREFERRED,AT_PREFERRED,DO_PREFERRED,EVAP_PREFERRED,pH_PREFERRED,THRESHOLD,SOURCE_PARAMS,SOURCE_SEQ,EWSRC_Q_SEQ,EWSRC_QORD_SEQ,EWSRC_H_SEQ,EWSRC_V_SEQ,EWSRC_P_SEQ,EWSRC_E_SEQ,EWSRC_EC_SEQ,FLOOD_OPS,FLOOD_OPS_PARAMS,DAILY_FLOOD
R_409023,STEVSWR,409023,,,EDWARD R D/S STEVEN,EDWARD RIVER DOWNSTREAM OF STEVENS WEIR,Deniliquin,H;Q;EC;WT;QORD;,DEN_13,EDWOPS;,EW_31;,Y,,Q;EC;H;QORD;WT,Q,,,,,,,,Y,,,-35.43440000,144.75860000,79.773,79.927,0.154,Edward-Wakool,River,,Y,,,,,tributaries,obs_flow;fcst_flow;,,,,,,,RQ,61417440576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700.00,,,Y,,,Y,,Y,,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,YarrawongaToEuston,Q;P;,170,EWS_PQ_038,EWS_OQORD_012,,,EWS_OP_031,,EWS_OEC_056,,,
R_409024,COLLREG,409024,,,COLLIGEN C B/L REGUL,COLLIGEN CREEK AT BELOW REGULATOR,Deniliquin,H;Q;,DEN_22,YARRA;,,Y,,Q;H,Q;,,,,,,,,Y,,,-35.44690000,144.71100000,81.422,81.491,-0.011,,River,,Y,,,,,,,,,,,,,RQ,61407354026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,,Q;,171,EWS_PQ_037,,,,,,,,,
R_409025,YARRADS,409025,,,D/S Yarrawonga Weir,MURRAY RIVER DOWNSTREAM YARRAWONGA WEIR,Yarrawonga,H;Q;WT;EC;,YAR_02,EDWOPS;,EW_29;,Y,,Q;EC;H;WT;,Q;,,yarrawonga,,,,,,Y,,,-36.01140000,145.99400000,115.036,114.186,-0.850,Murray,River,,Y,,,,,river_murray,obs_level;fcst_level;obs_flow;fcst_flow;,,,,,,,RQ,61477718901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,Y,Y,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,HumeToYarrawonga,Q;,172,EWS_PQ_012,,,,,,EWS_OEC_074,Yarrawonga,H_obs;Q_obs,
R_409026,MULWALA,409026,,,Mulwala,MULWALA MAIN CANAL AT DOWNSTREAM OFFTAKE,Yarrawonga,Q;QORD;,YAR_07,EDWOPS;,EW_24;,,,Q;QORD;,QDIV.irrig,,yarrawonga,,,,,,,SWC,,-35.98210000,146.01070000,121.952,121.952,0.000,,River,,Y,,,,,,,,,,,,,RQ,61400465287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,OPC,OPC,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,HumeToYarrawonga,Q;QORD;,173,EWS_PQ_010,EWS_OQORD_003,,,,,,Yarrawonga,H_obs;Q_obs,
R_409029,EDWESC,409029,,,ESC FR MULWALA EDW R,ESCAPE FROM MULWALA CANAL AT EDWARDS RIVER,Deniliquin,H;Q;QORD.mdbc;QORD;,DEN_33,EDWOPS;,EW_04;,Y,,Q;QORD.mdbc;QORD;,Q;QORD.mdbc,,,,,,,,Y,SWC,,-35.56450000,145.00830000,90.250,90.253,0.003,,River,,Y,8am_to_8am,,,,,,,,,,,,RQ,61400443286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,,Y,,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,YarrawongaToEuston,Q;,174,EWS_PQ_033,EWS_OQORD_008,,,,,,,,
R_409030,GULPOFF,409030,,,GULPA CK @ OFFTAKE,GULPA CREEK AT OFFTAKE,Deniliquin,H;Q;,DEN_04,EDWOPS;,EW_26;,Y,,Q;H,Q,,,,,,,,Y,SWC,,-35.84890000,144.98820000,92.657,93.657,0.904,Edward-Wakool,River,,Y,,,,,,obs_flow;fcst_flow;,,,,,,,RQ,61458463917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.00,80.00,,Y,,,,,,,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,YarrawongaToEuston,Q;,175,EWS_PQ_031,,,,,,,,,
R_409034,,409034,,,WAKOOL R @ KYALITE,WAKOOL RIVER AT KYALITE,THIESS (EC's & Turbidity),,,EDWOPS;,EW_06;,Y,,,,,,,,,,,,,,-34.94810000,143.48240000,51.700,51.700,0.000,,River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,,,
R_409035,LIEWAH,409035,,,EDWARD R @ LIEWAH,EDWARD RIVER AT LEIWAH,Deniliquin,H;Q;EC;WT;,DEN_15,EDWOPS;,EW_28;,Y,,Q;EC;H;WT,Q,,,,,,,,Y,,,-34.98880000,143.62280000,55.348,55.201,-0.087,,River,,Y,,,,,tributaries,,,,,,,,RQ,61429210245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,Y,,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,,Q;,176,EWS_PQ_040,,,,,,EWS_OEC_058,,,
R_409036,MERUWJ,409036,,,MERRAN CK U/S WAK JN,MERRAN CREEK AT UPSTREAM OF WAKOOL JUNCTION,Deniliquin,H;Q;EC;WT;DO;DO%;,DEN_27,EDWOPS;,EW_25;,Y,,Q;DO;DO%;EC;H;WT,,,,,,,,,Y,,,-35.10740000,143.58260000,56.762,57.016,0.357,,River,,Y,,,,,,,,,,,,,RQ,61407862414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,Y,Y,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,YarrawongaToEuston,Q;,177,EWS_PQ_052,,,,,,EWS_OEC_065,,,
R_409037,HOWLONG,409037,,,Howlong,MURRAY RIVER AT HOWLONG,Hume,H;Q;WT;EC;,HUM_18,EDWOPS;,EW_05;,Y,,Q;EC;H;WT,,,hume,,,,,,Y,,,-35.97640000,146.61960000,132.382,132.382,0.000,Murray,River,,Y,,,,,,,,,,,,,RQ,61409827953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,Y,,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,,Q;,178,EWS_PQ_008,,,,,,EWS_OEC_081,,,
R_409044,FRANKBR,409044,,,LT MERRAN FRANK/  BR,LITTLE MERRAN CREEK AT FRANKLINGS BRIDGE,Deniliquin,H;Q;EC;WT;DO;DO%;,DEN_25,EDWOPS;,EW_17;,Y,,Q;DO;DO%;EC;H;WT;,Q,,,,,,,,Y,,,-35.52140000,144.05170000,70.788,71.082,0.247,,River,,Y,,,,,,,,,,,,,RQ,61408362023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,Y,Y,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,YarrawongaToEuston,Q;,179,EWS_PQ_050,,,,,,EWS_OEC_064,,,
R_409045,WAKBAR,409045,,,WAKOOL WAKOOL-BAR RD,WAKOOL RIVER AT WAKOOL-BARHAM ROAD,Deniliquin,H;Q;EC;WT;,DEN_18,EDWOPS;,EW_27;,Y,,Q;EC;H;WT;,Q,,,,,,,,Y,,,-35.51050000,144.20990000,70.230,70.392,0.287,,River,,Y,,,,,,,,,,,,,RQ,61408111040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,Y,,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,,Q;,180,EWS_PQ_046,,,,,,EWS_OEC_059,,,
R_409047,TOONALK,409047,,,EDWARD R @ TOONALOOK,EDWARD RIVER AT TOONALOOK,Deniliquin,H;Q;EC;WT;DO;DO%;,DEN_06,EDWOPS;,EW_30;,Y,,Q;EC;H;WT;DO;DO%;,,,,,,,,,Y,,,-35.64280000,144.95960000,83.691,85.833,2.130,,River,,Y,,,,,,,,,,,,,RQ,61448416150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,Y,Y,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,YarrawongaToEuston,Q;,181,EWS_PQ_032,,,,,,EWS_OEC_053,,,
R_409048,NIEMBAR,409048,,,NIEMUR R BARH-MLN RD,NIEMUR RIVER AT BARHAM - MOULAMEIN ROAD,Deniliquin,H;Q;WT;EC;DO;DO%;,DEN_23,EDWOPS;,EW_16;,Y,,Q;DO;DO%;H;,,,,,,,,,Y,,,-35.27390000,144.15950000,67.329,68.039,0.815,,River,,Y,,,,,,,,,,,,,RQ,61407564604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,Y,Y,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,YarrawongaToEuston,Q;,182,EWS_PQ_042,,,,,,,,,
R_409056,TUPPALM,409056,,,TUPPAL @ ARATULA RD,TUPPAL CREEK AT ARATULA ROAD,Deniliquin,H;Q;EC;WT;,DEN_08,EDWOPS;,EW_12;,Y,,Q;EC;H;WT;,,,,,,,,,Y,,,-35.62810000,145.05520000,86.830,87.734,0.930,,River,,Y,,,,,,,,,,,,,RQ,61400821426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,Y,,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,,Q;,183,EWS_PQ_028,,,,,,EWS_OEC_054,,,
R_409061,WAKCOON,409061,,,WAKOOL R COONAMIT BR,WAKOOL RIVER AT COONAMIT BRIDGE,Deniliquin,H;Q;EC;WT;,DEN_20,MIDOPS;,MD_19;,Y,,Q;EC;H;WT;,,,,,,,,,Y,,,-35.13560000,143.68230000,54.554,54.763,0.023,,River,,Y,,,,,,,,,,,,,RQ,61488098464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,Y,,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,,Q;,184,EWS_PQ_049,,,,,,EWS_OEC_061,,,
R_409062,WAKGEE,409062,,,WAKOOL R GEEGEE BR 2,WAKOOL RIVER AT GEE GEE BRIDGE (NO.2),Deniliquin,H;Q;EC;WT;DO;DO%;,DEN_19,,,Y,,Q;EC;H;WT;DO;DO%;,,,,,,,,,Y,,,-35.32900000,143.93220000,62.459,62.812,0.421,,River,,Y,,,,,,,,,,,,,RQ,61407437382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,Y,Y,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,YarrawongaToEuston,Q;,185,EWS_PQ_048,,,,,,EWS_OEC_060,,,
R_409068,NIEMNBC,409068,,,Niemur Syphon Order,Niemur Syphon Escape Order,Deniliquin,QORD;,DEN_36,MIDOPS;,MD_09;,,,QORD;,,,,,,,,,,SWC,,0.00000000,0.00000000,,0.000,,,River,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,EWS_OQORD_011,,,,,,,,
R_409072,,409072,,,WAKOOL R @ DENI RD,WAKOOL RIVER AT DENILIQUIN/WAKOOL ROAD,,,,,,Y,,,,,,,,,,,,,,-35.49500000,144.45350000,45.043,-5.934,0.000,,River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,,,
R_409075,BULLATA,409075,,,BULLATALE U/S EDWARD,BULLATALE CREEK AT UPSTREAM OF EDWARD RIVER,Deniliquin,H;Q;EC;WT;,DEN_07,,,Y,,Q;EC;H;WT;,,,,,,,,,Y,,,-35.62090000,145.00280000,45.971,94.441,0.058,,River,,Y,,,,,,,,,,,,,RQ,61407764502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,Y,,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,,Q;,186,EWS_PQ_029,,,,,,EWS_OEC_083,,,
R_409077,FINLESC,409077,,,FINLEY ESC @ OUTFALL,FINLEY ESCAPE AT OUTFALL,Deniliquin,Q;QORD;,DEN_32,EDWOPS;,EW_18;,,,Q;QORD;,Q;QORD.shortterm,,,,,,,,,SWC,,-35.34960000,145.51850000,0.000,0.000,0.000,,River,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,,Y,,,,OPC,OPC,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,,,,EWS_OQ_050,EWS_OQORD_015,,,,,,,,
R_409086,NIEMMAL,409086,,,NIEMUR @ MALLAN SCH,NIEMUR RIVER AT MALLAN SCHOOL,Deniliquin,H;Q;EC;WT;DO;DO%;,DEN_24,,,Y,,Q;DO;DO%;EC;H;WT;,,,,,,,,,Y,,,-35.13510000,143.80010000,59.950,60.895,0.954,,River,,Y,,,,,,,,,,,,,RQ,61488082573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,Y,Y,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,YarrawongaToEuston,Q;,187,EWS_PQ_044,,,,,,EWS_OEC_063,,,
R_409091,,409091,,,POON BOON,POON BOON LAKES INFLOW,,,,,,,,,,,,,,,,,,,,-35.18861451,143.44420051,62.900,62.926,0.026,,River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,,,
R_409098,WADDREG,409098,,,WADDY CK D/S REGULAR,WADDY CREEK AT DOWNSTREAM OF REGULATOR.,Deniliquin,H;Q;,DEN_26,,,Y,,Q;H;,Q,,,,,,,,Y,,,-35.39120000,143.76400000,47.550,47.918,0.340,,River,,Y,,,,,,,,,,,,,RQ,61437704464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,,Q;,188,EWS_PQ_051,,,,,,,,,
R_409100,PERRESC,409100,,,Perricoota Escape,Perricoota escape - MURRAY RIVER TO PERRICOOTA CANAL,Deniliquin,Q;QORD;,DEN_31,MIDOPS,MD_37;,,,Q;QORD;,Q;QRD.shortterm,,,,,,,,,SWC,,0.00000000,0.00000000,,0.000,,,River,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,,,,,,,,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,,Q;QORD;,287,EWS_OQ_047,EWS_OQORD_014,,,,,,,,
R_409101,STEVWUS,409101,,,EDWARD U/S STEVENS W,EDWARD RIVER AT UPSTREAM STEVENS WEIR - STORAGE GAUGE,Deniliquin,H;,DEN_12,MIDOPS;,MD_39;,,,H;,,,,,,,,,,SWC,,-35.43940000,144.76340000,79.973,79.973,,Edward-Wakool,Storage,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,OPC,OPT,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,,H;,189,,,EWS_OH_013,,,,,,,
R_409103,WAKESC,409103,,,WAKOOL ESC @ MULWALA,ESCAPE FROM MULWALA CANAL TO WAKOOL RIVER,Deniliquin,Q;QORD.mdbc;,DEN_34,,,,,Q;QORD.mdbc,Q;QORD.mdbc,,,,,,,,,SWC,,-35.49380000,144.77340000,80.100,-5.438,80.167,,River,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,,Q;,190,EWS_OQ_045,EWS_OQORD_056,,,,,,,,
R_409107,,409107,,,ST HELENA DS REGULAT,SAINT HELENA CREEK AT DOWNSTREAM REGULATOR,,,,,,Y,,,,,,,,,,,,,,-35.37770000,143.91010000,66.878,67.723,0.780,,River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,,,
R_409109,KPTCLTR,409109,,,Thule Creek at Lower Thule Road,Thule Creek at Lower Thule Road Bridge,KP_Sites;EWN;,H;Q;EC;PH;WT;DO;DO%;Q.return;,KPS_21;EWN_02,,,,,H;Q;EC;PH;WT;DO;DO%;Q.return;,,,KP_Sites;EWN;,,,,,,Y,,,-35.68172700,144.35387500,74.100,,0.000,,River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,,Y,Y,,Y,OPT,OPT,OPT,OPT,OPT,OPT,OPT,OPT,OPT,OPT,,,,,,,,,,,,,
R_409111,KPBCSBR,409111,,,Barber Creek at Sandy Bridge Road,Barber Creek at Sandy Bridge Road sample site,KP_Sites;EWN;,H;Q;EC;PH;WT;DO;DO%;Q.return;,KPS_22;EWN_03,,,,,H;Q;EC;PH;WT;DO;DO%;Q.return;,,,KP_Sites;EWN;,,,,,,Y,,,-35.50670500,144.07773300,69.372,78.000,0.000,,River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,,Y,Y,,Y,OPT,OPT,OPT,OPT,OPT,OPT,OPT,OPT,OPT,OPT,,,,,,,,,,,,,
R_409113,BARBCKP,409113,,,Barber Creek PooI,Barber Creek Pool Upstream Regulator,KP_Sites,H;Q;P;EC;PH;WT;DO;DO%,KPS_12,,,,,H;Q;P;EC;PH;WT;DO;DO%,,,KP_Sites,,,,,,Y,,,-35.58823800,144.18317900,71.000,,71.900,,River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,Y,Y,,Y,OPT,OPT,OPT,OPT,OPT,OPT,OPT,OPT,OPT,OPT,,,,,,,,,,,,,
R_409114,KPTORDS,409114,,,Torrumbarry Cutting D/S,Torrumbarry Cutting Offtake Regulator D/S Forest Side,KP_Sites;EWN;,H;Q;WT;Q.inflow;,KPS_03;EWN_01;,,,,,H;Q;WT;Q.inflow;,,,KP_Sites;EWN;,,,,,,Y,,,-35.93843100,144.47752500,82.766,84.000,0.097,,River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,,,,,,OPT,OPT,OPT,OPT,OPT,OPT,OPT,OPT,OPT,OPT,,,,,,,,,,,,,
R_409115,WAKTOWN,409115,,,Wakool Town Escape,Wakool Town Escape Order,Deniliquin,QORD;,DEN_35,,,,,QORD;,,,,,,,,,,SWC,,0.00000000,0.00000000,,0.000,,,River,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,EWS_OQORD_010,,,,,,,,
R_409200A,ECHUCA,409200A,,,Murray-Echuca Wharf,MURRAY RIVER @ ECHUCA,Torrumbarry,H;,TOR_06,,,Y,,H;,,,torrumbarry,,,,,,Y,BOM,,-36.11971666,144.74732780,0.000,98.000,0.000,Murray,River,,,,,,,,,,,,,,,,,94.01,85.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,OPC,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,,,,
R_409202A,TOCUMWA,409202A,,,Tocumwal,MURRAY RIVER @ TOCUMWAL,Yarrawonga,H;Q;WT;EC;,YAR_04,YARRA;,,Y,,Q;EC;H;WT,,,yarrawonga,,,,,,Y,BOM,,-35.81351719,145.55668470,103.830,0.000,0.000,Murray,River,,Y,,,,,river_murray,,,,,,,,cvals,61457771274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,Y,,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,YarrawongaToEuston,Q;,191,EWS_PQ_013,,,,,,EWS_OEC_030,Yarrawonga,H_obs;Q_obs;,
R_409204C,SWANHIL,409204C,,,Swan Hill,MURRAY RIVER @ SWAN HILL,Torrumbarry,H;Q;WT;EC;,TOR_08,MIDOPS;,MD_14;,Y,,H;Q;EC;WT;,Q,,torrumbarry,,,,,,Y,GMW;BOM,,-35.32763381,143.56417980,62.921,0.000,0.000,Murray,River,,Y,,,,,salinity,obs_flow;fcst_flow;obs_sal;fcst_sal;obs_level;fcst_level;,,,,,,,cvals,61458221137,4.77,0.45,,,,,1.0e-03,86400.00,,,,,,,,,32.70,7.00,,,1.94e-03,1.94e-03,,,,,,,,,,,500.00,10.00,,,,,,,,,,,,,,,,0.60,,,,,Y,,,Y,,Y,,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,YarrawongaToEuston,Q;,192,EWS_PQ_027,,,,,,EWS_OEC_039,,,
R_409206B,NYAH,409206B,,,NYAH,MURRAY RIVER @ NYAH,Tatura,EC;,TAT_23,,,,,EC;,,,,,,,,,,GMW,,-35.17363085,143.38233740,0.000,0.000,0.000,,River,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,Y,,,,OPT,OPC,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,,,,,,,,,,EWS_OEC_040,,,
R_409207B,TORRDS,409207B,,,Murray d/s Torrumbarry,MURRAY RIVER @ TORRUMBARRY,Torrumbarry,H;Q;,TOR_02,MIDOPS;,MD_02;,Y,,Q;H;,Q,,torrumbarry,,,,,,Y,GMW;BOM,,-35.94159900,144.46560200,78.545,0.000,0.000,Murray,River,,Y,,,,,river_murray,obs_level;fcst_level;obs_flow;fcst_flow;,,,,,,,,,7.90,0.71,,,8.3e-05,8.3e-05,1.0e-03,86400.00,,,,,,,,,35.00,5.00,,,9.72e-03,8.33e-03,,,,,,,,,,,675.00,10.00,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,,Y,,,,OPC,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,YarrawongaToEuston,Q;,193,EWS_PQ_017,,,,,,,,,
R_409214A,PENTAL,409214A,,,Pental Island,MURRAY RIVER @ PENTAL ISLAND PUMPS,Tatura,H;Q;EC;,TAT_15,MIDOPS;,MD_43;,Y,,Q;EC;H;,,,,,,,,,,GMW,,-35.42356400,143.76478700,69.909,77.000,0.000,,River,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,,Y,,,,OPC,Rated,OPT,OPT,OPC,OPT,OPT,OPT,OPC,,,Q;,194,EWS_PQ_026,,,,,,EWS_OEC_038,,,
R_409215B,BARMAH,409215B,,,Murray @ Barmah,MURRAY RIVER @ BARMAH,Torrumbarry,H;Q;WT;EC;,TOR_05,MIDOPS;,MD_44;,Y,,Q;EC;H;WT,,,torrumbarry,,,,,,Y,GMW;BOM,,-36.01760591,144.96103440,89.302,0.000,0.000,Murray,River,,Y,,,,,,obs_flow;fcst_flow;,,,,,,,cvals,61458221485,7.20,1.05,,,,,1.0e-03,86400.00,,,,,,,,,30.50,7.00,,,1.1e-03,1.1e-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,Y,,,,OPT,Rated,OPT,OPT,OPT,OPT,OPT,OPT,OPC,,,Q;,195,EWS_PQ_015,,,,,,EWS_OEC_031,,,
